iter	Passed	Remaining
0	1	161
1	3	162
2	4	153
3	5	140
4	7	135
5	8	139
6	10	136
7	11	135
8	13	132
9	14	130
10	15	127
11	17	125
12	18	124
13	20	123
14	21	121
15	23	121
16	24	118
17	25	116
18	26	114
19	27	111
20	29	109
21	30	107
22	31	106
23	33	105
24	34	103
25	35	102
26	37	101
27	38	100
28	40	98
29	41	96
30	42	94
31	43	93
32	45	91
33	46	90
34	48	89
35	49	88
36	52	89
37	53	87
38	54	86
39	56	84
40	57	82
41	58	80
42	59	78
43	60	77
44	61	75
45	62	73
46	64	73
47	66	71
48	67	70
49	68	68
50	70	67
51	71	65
52	72	64
53	74	63
54	74	61
55	76	59
56	78	58
57	79	57
58	80	56
59	82	54
60	83	53
61	84	52
62	86	50
63	87	49
64	89	48
65	91	46
66	92	45
67	94	44
68	96	43
69	97	41
70	99	40
71	100	39
72	102	37
73	103	36
74	105	35
75	106	33
76	108	32
77	109	31
78	111	29
79	112	28
80	114	26
81	116	25
82	117	24
83	119	22
84	121	21
85	123	20
86	124	18
87	125	17
88	127	15
89	128	14
90	130	12
91	132	11
92	133	10
93	135	8
94	137	7
95	138	5
96	139	4
97	141	2
98	142	1
99	144	0
